auction_id,item_id,seller_id,final_price,num_bids,winner_id,auction_end_date
A00001,I00001,S00032,141.38,15,B00038,2024-12-04T06:00:00Z
A00002,I00002,S00027,110.44,10,B00084,2024-12-20T18:00:00Z
A00003,I00003,S00012,286.04,17,B00093,2025-01-07T01:00:00Z
A00004,I00004,S00027,172.53,12,B00133,2024-11-22T11:00:00Z
A00005,I00005,S00003,195.26000000000002,14,B00049,2025-01-03T09:00:00Z
A00006,I00006,S00030,151.31,13,B00092,2024-12-02T12:00:00Z
A00007,I00007,S00004,89.18,9,B00074,2024-12-15T15:00:00Z
A00008,I00008,S00025,227.4772652985547,20,B00043,2025-01-08T00:00:00Z
A00009,I00009,S00020,227.67000000000002,14,B00171,2025-01-04T23:00:00Z
A00010,I00010,S00020,258.1,17,B00052,2024-12-24T18:00:00Z
A00011,I00011,S00024,212.21,19,B00108,2025-01-04T01:00:00Z
A00012,I00012,S00014,183.98,16,B00069,2025-01-06T11:00:00Z
A00013,I00013,S00036,197.35,10,B00165,2025-01-11T09:00:00Z
A00014,I00014,S00033,186.15,11,B00137,2025-01-04T00:00:00Z
A00015,I00015,S00029,201.26,14,B00068,2024-12-23T09:00:00Z
A00016,I00016,S00029,194.35999999999999,12,B00046,2024-12-22T18:00:00Z
A00017,I00017,S00014,252.42,12,B00100,2025-01-07T09:00:00Z
A00018,I00018,S00032,75.74,7,B00053,2024-11-25T18:00:00Z
A00019,I00019,S00028,217.84,12,B00030,2024-12-24T23:00:00Z
A00020,I00020,S00031,185.77,8,B00041,2025-01-03T09:00:00Z
A00021,I00021,S00022,178.66,10,B00140,2024-11-22T20:00:00Z
A00022,I00022,S00039,143.33,10,B00136,2024-12-09T03:00:00Z
A00023,I00023,S00001,85.46,7,B00023,2025-01-03T18:00:00Z
A00024,I00024,S00005,127.88000000000001,9,B00157,2024-12-28T16:00:00Z
A00025,I00025,S00023,234.18,16,B00165,2024-12-29T15:00:00Z
A00026,I00026,S00024,168.3,12,B00097,2024-12-16T15:00:00Z
A00027,I00027,S00037,243.61717235601787,17,B00114,2024-11-22T22:00:00Z
A00028,I00028,S00006,169.9,19,B00049,2024-12-01T23:00:00Z
A00029,I00029,S00026,251.73,18,B00137,2024-12-11T14:00:00Z
A00030,I00030,S00002,136.43,9,B00015,2025-01-03T18:00:00Z
A00031,I00031,S00022,143.76,11,B00091,2024-11-21T18:00:00Z
A00032,I00032,S00002,118.44,12,B00171,2024-12-03T18:00:00Z
A00033,I00033,S00016,132.03,8,B00173,2025-01-02T22:00:00Z
A00034,I00034,S00020,233.58,13,B00026,2024-12-02T01:00:00Z
A00035,I00035,S00014,200.03,18,B00012,2024-11-26T05:00:00Z
